Sample_ID,Sample_Characteristics
B368,paired normal gastric tissue
B369,paired normal gastric tissue
B370,paired normal gastric tissue
B372,paired normal gastric tissue
B373,paired normal gastric tissue
B374,paired normal gastric tissue
B375,paired normal gastric tissue
B376,paired normal gastric tissue
B377,paired normal gastric tissue
B378,paired normal gastric tissue
B379,paired normal gastric tissue
B380,paired normal gastric tissue
B381,paired normal gastric tissue
B382,paired normal gastric tissue
B383,paired normal gastric tissue
B384,paired normal gastric tissue
B385,paired normal gastric tissue
B387,paired normal gastric tissue
B388,paired normal gastric tissue
B389,paired normal gastric tissue
B390,paired normal gastric tissue
B391,paired normal gastric tissue
B392,paired normal gastric tissue
B393,paired normal gastric tissue
B394,paired normal gastric tissue
B395,paired normal gastric tissue
B396,paired normal gastric tissue
B397,gastric tumor
B399,gastric tumor
B400,gastric tumor
B401,gastric tumor
B402,gastric tumor
B403,gastric tumor
B404,gastric tumor
B405,gastric tumor
B406,gastric tumor
B407,gastric tumor
B408,gastric tumor
B410,gastric tumor
B411,gastric tumor
B412,gastric tumor
B413,gastric tumor
B414,gastric tumor
B415,gastric tumor
B416,gastric tumor
B417,gastric tumor
B418,gastric tumor
B419,gastric tumor
B420,gastric tumor
B421,gastric tumor
B422,gastric tumor
B423,gastric tumor
B424,gastric tumor
B425,paired normal gastric tissue
B427,paired normal gastric tissue
B428,paired normal gastric tissue
B429,paired normal gastric tissue
B430,paired normal gastric tissue
B431,paired normal gastric tissue
B432,paired normal gastric tissue
B433,paired normal gastric tissue
B434,paired normal gastric tissue
B435,paired normal gastric tissue
B436,paired normal gastric tissue
B438,paired normal gastric tissue
B439,paired normal gastric tissue
B440,paired normal gastric tissue
B441,paired normal gastric tissue
B442,paired normal gastric tissue
B443,paired normal gastric tissue
B444,paired normal gastric tissue
B445,paired normal gastric tissue
B446,paired normal gastric tissue
B447,paired normal gastric tissue
B448,paired normal gastric tissue
B449,paired normal gastric tissue
B450,paired normal gastric tissue
B451,paired normal gastric tissue
B452,paired normal gastric tissue
B453,gastric tumor
B454,gastric tumor
B455,gastric tumor
B456,gastric tumor
B457,gastric tumor
B458,gastric tumor
B459,gastric tumor
B460,gastric tumor
B461,gastric tumor
B462,gastric tumor
B463,gastric tumor
B464,gastric tumor
B465,gastric tumor
B466,gastric tumor
B467,gastric tumor
B468,gastric tumor
B469,gastric tumor
